Index,Firm/Fund,Company,Business Description,Primary Industry (CIQ/GICS),Topic Tags,Geography,BERT_Score,Rule_Based_Score,Final_Score
210,Chevron Technology Ventures L.L.C.,"Zededa, Inc.","Zededa, Inc. develops edge virtualization software to deliver visibility, control, and protection for IoT edge gateways, applications, and networks at the enterprise edge as a cloud-based service. The company offers Edge Quick Connect for Azure IoT Edge, a SaaS solution that enables customers to provide, manage, and secure their IoT deployments through virtualization; cloud-managed gateways that enable remote administration; and legacy applications. Furthermore, its solutions are used for various applications, such as predictive analytics in competitive renewable energy, digital transformation in automation for oil and gas, and industrial automation. The company serves manufacturing, automotive, oil and gas, and retail industries. The company was incorporated in 2016 and is based in San Jose, California with additional offices in Berlin, Germany, and Bengaluru, India.",Application Software,"Edge Computing,  CleanTech,  Predictive Analytics,  Industrial Automation, Iot Edge",United States and Canada,4,2,4
211,Chevron Technology Ventures L.L.C.,PanGeo Subsea Inc.,"PanGeo Subsea Inc., a geophysical-geotechnical service delivery company, provides 3D acoustic imaging solutions to mitigate risk in offshore installations. The company offers Acoustic Corer technology, a seabed deployed unit with dual subsurface scanning sonar heads that provides de-risking offshore foundation installation, geo hazard locating and imaging, and high definition stratigraphic imaging and mapping. Its Acoustic Corer technology is used in various applications, including subsea infrastructure and anchor piling, jack-up movement, wind farm installation, excavated drilling centers, and decommissioning. The company also offers Sub-Bottom Imager that provides pre-route engineering surveys, decommissioning surveys, unexploded ordnance service support, pipeline/cable as-laid/as-built surveys, and pipeline/cable integrity surveys. PanGeo Subsea Inc. was incorporated in 2006 and is based in Saint John's, Canada with operations and business development in Aberdeen, United Kingdom.",Construction and Engineering,,United States and Canada,3,5,5
212,Chevron Technology Ventures L.L.C.,LUX Assure Limited,"LUX Assure Limited develops and delivers technologies to detect, measure, and monitor chemical concentrations in the oil and gas industry. The company offers CoMic, a technology that provides information on the optimal dosage of corrosion inhibitors; and a range of testing kits that perform onsite or offshore colorimetric analysis. It serves customers in the United Kingdom and internationally. LUX Assure Limited was formerly known as LUX Innovate Limited and changed its name to LUX Assure Limited in May 2013. The company was founded in 2001 and is based in Edinburgh, United Kingdom.",Oil and Gas Equipment and Services,,Europe,3,1,3
213,Chevron Technology Ventures L.L.C.,"Modumetal, Inc.","Modumetal, Inc. develops and manufactures nano laminated metals and materials for applications in energy, aerospace, automotive, defense, infrastructure, and construction industries. The company’s products include NanoGalv, a zinc-nickel nanolaminate technology; NanoPlex, a nickel-cobalt nanolaminate technology; and ModuGalv, an iron-nickel nanolaminate technology. It offers corrosion resistant, structural, thermal barrier, and customized alloys; and nano laminated fasteners, pumps, valves, and production tubulars across production fields globally to reduce corrosion and to improve their return on assets. The company’s nano laminated metals are also used as replacements for conventional metals and composites in various applications. Modumetal, Inc. was incorporated in 2007 and is based in Snohomish, Washington with additional locations in Houston, Texas; Seattle and Maltby Washington; Aberdeen, United Kingdom; and Johor Bahru, Malaysia.",Diversified Metals and Mining,,United States and Canada,3,1,3
214,Chevron Technology Ventures L.L.C.,"Hicor Technologies, Inc.","Hicor Technologies, Inc. develops plug and play compression solutions that enable oil and gas wells operators to increase production from the surface. It engages in evaluation and simulation of well portfolio, installation and operation of the Reach system, and monitoring and maintenance of a well’s production journey. The company’s solutions also include artificial lift and frac hit recovery solutions. Reach Production Solutions was formerly known as OsComp Systems Inc. and changed its name to Hicor Technologies, Inc. in January 2014. The company was founded in 2009 and is based in Houston, Texas.",Oil and Gas Equipment and Services,,United States and Canada,2,1,2
215,Chevron Technology Ventures L.L.C.,Soane Energy LLC,"Soane Energy LLC, a specialty materials company, develops platform technologies for the oil and gas industry. The company engages in developing and applying chemical solutions based on polymers and surface science to improve efficiency and reduce the environmental impact of oil and gas exploration and production. It offers self-suspending technology that uses a polymer coating to improve proppant suspension and transport; friction-reducing products; systems for removing impurities in hydraulic fracturing wastewater for the oil and gas industry; and processes for treating wastewater produced by Canadian oil sands hot-water extraction. The company was founded in 2006 and is based in Cambridge, Massachusetts.",Commodity Chemicals,,United States and Canada,2,1,2
216,Chevron Technology Ventures L.L.C.,"DeepFlex, Inc.","DeepFlex, Inc. designs, manufactures, and deploys nonmetallic composite unbonded flexible pipes and hybrid (composite and steel based) unbonded flexible pipes for deepwater applications. It offers flexible fiber reinforced pipes and unbonded flexible hybrid reinforced pipes for subsea oil and gas production environments, subsea mining, light well intervention, deepwater pipeline commissioning, and other applications. The company was founded in 2004 and is based in Houston, Texas. It has a manufacturing and service facility in Manitowoc, Wisconsin; and sales and engineering facilities in Rio de Janeiro, Brazil. On April 6, 2020, DeepFlex, Inc. filed a voluntary petition for liquidation under Chapter 7 in the U.S. Bankruptcy Court for the Delaware.",Steel,,United States and Canada,3,1,3
217,Chevron Technology Ventures L.L.C.,"Sub-One Systems, LLC","Sub-One Systems, LLC manufactures equipment for internal metal coating. The company offers InnerArmor coatings, which provide hardness, wear resistance, corrosion control, erosion resistance, and temperature resistance in corrosive or erosive environments, as well as capable of depositing carbon-based coatings, metals, and oxides; and diamondoid coatings made from nanometer-sized carbon-based materials and found in petroleum for internal and external coatings. Sub-One Technology, Inc. designs and manufactures a range of InnerArmor coating systems primarily to coat the interiors of long tubular products, such as industrial pipes; and a range of coating systems to accommodate various lengths and shapes of products to be coated. Its InnerArmor technology is applied for coating the interiors of industrial piping, exhaust systems, chemical delivery systems, and gas cylinders, as well as precision components, couplers, and medical devices. The company serves large companies in oil and gas/energy, chemical processing, industry and specialty gas, automotive, food processing, pulp and paper, medical, semiconductor, aerospace, public utilities, geothermal, and metals production industries. It markets its products through commercial coating service providers worldwide. The company was founded in 2000 and is headquartered in Tucson, Arizona. Sub-One Systems, LLC operates as a subsidiary of Duralar Technologies.",Industrial Machinery and Supplies and Components,,United States and Canada,3,2,3
218,Chevron Technology Ventures L.L.C.,"MicroSeismic, Inc.","MicroSeismic, Inc., an oilfield services company, provides microseismic-based completions evaluation services. The company offers services in the areas of completions evaluation, hydraulic fracture monitoring and mapping, seismicity and reservoir monitoring, real-time surface monitoring, permanent and real-time shallow subsurface monitoring, and downhole monitoring. It also offers Passive Seismic Emission Tomography (PSET), a processing technology solution to locate microseismic events; PSET Alerting, a solution to set alerts in real-time; PSET Uncertainty Estimation, a solution that allows customers to evaluate hypocenter uncertainty using the PSET Uncertainty attribute; PSET Vertical Transverse Isotropy, a calibration tool to characterize anisotropic velocity models to produce images of microseismic event locations; and PSET Downhole, an imaging technology. The company serves oil and gas companies in USA and internationally. MicroSeismic, Inc. was incorporated in 2003 and is based in Houston, Texas.",Oil and Gas Equipment and Services,,United States and Canada,3,1,3
219,ENI NEXT LLC,"Form Energy, Inc.","Form Energy, Inc. develops energy storage systems and batteries. Its product replaces fossil baseload generation with renewable energy to reduce carbon emissions. The company also develops Formware, a technology-agnostic capacity expansion software tool with full-year hourly granularity and stochastic optimization capability. Form Energy, Inc. was formerly known as Baseload Renewables, Inc. and changed its name to Form Energy, Inc. in February 2018. The company was incorporated in 2017 and is based in Somerville, Massachusetts with additional locations in Berkeley, California and Eighty Four, Pennsylvania.",Electrical Components and Equipment,,United States and Canada,3,4,3
220,ENI NEXT LLC,Thiozen Inc.,"Thiozen Inc. engages in the generation of low-carbon hydrogen. The company offers hydrogen for natural gas processing, biorefining, petrochemical and fuel refining, pulp and paper manufacturing, and fertilizer production. Thiozen Inc. was incorporated in 2020 and is based in Belmont, Massachusetts.",Industrial Gases,,United States and Canada,3,2,3
221,ENI NEXT LLC,Commonwealth Fusion Systems LLC,"Commonwealth Fusion Systems LLC develops energy through inexhaustible power plant. The company uses rare-earth barium copper oxide superconductor technology to develop energy. It offers fusion energy to combat climate change. Commonwealth Fusion Systems LLC was incorporated in 2017 and is based in Devens, Massachusetts.",Electric Utilities,"Clean Energy, Fusion Energy",United States and Canada,3,1,3
222,ENI NEXT LLC,e-Zn Inc.,"e-Zn Inc., trading as e-Zinc, is an energy storage technology company that develops electrochemical technology for storing energy in zinc metals. Its Zn reactor products have applications in residential houses, islands, remote communities, third world countries, military bases, mining sites, mobile communities, telecommunication sites, emergency responses, and electric vehicle charging stations. The company was incorporated in 2012 and is based in Toronto, Canada.",Electrical Components and Equipment,"ClimateTech,  Energy Storage,  Energy Management",United States and Canada,3,3,3
223,ENI NEXT LLC,"CZero, Inc.","CZero, Inc. provides low-cost, zero-emission natural gas. The company is developing a drop-in decarbonization system that can be placed in between the existing natural gas infrastructure and industrial natural gas consumers seeking to lower their carbon dioxide emissions. It offers C-Zero’s technology, which converts natural gas into hydrogen and solid carbon and provides clean and renewable energy. The company’s technology is in the form of methane pyrolysis, which uses innovative thermos catalysis to extract the carbon in natural gas as a dense solid, and its technology applications include process heating, the production of commodity hydrogen for fuel cell vehicles, ammonia synthesis, and refining processes. The company was incorporated in 2018 and is based in Goleta, California.",Oil and Gas Refining and Marketing,"ClimateTech,  Fuel Cells, Cell Vehicle",United States and Canada,2,2,2
224,ENI NEXT LLC,Cool Planet Technologies Limited,"Cool Planet Technologies Limited manufactures membrane-based carbon capture process technology. It offers PolyActive, to capture carbon dioxide from industrial flue gas streams. The company was incorporated in 2019 and is based in London, United Kingdom.",Industrial Machinery and Supplies and Components,ClimateTech,Europe,3,1,3
225,ENI NEXT LLC,Captura Corp.,"Captura Corp. provides Captura, a system for capturing carbon dioxide from ocean water at scale. The company’s electrodialysis process generates a stream of pure CO2 that can be sequestered or utilized to make other low-carbon products. Captura Corp. was incorporated in 2021 and is based in Pasadena, California.",Environmental and Facilities Services,,United States and Canada,3,1,3
226,ENI NEXT LLC,M2X Energy Inc.,"M2X Energy Inc. offers a climate solution to reach zero emissions. The company was formerly known as Obantarla Corp. and changed its name to M2X Energy Inc. in October 2022. M2X Energy Inc. was incorporated in 2020 and is based in Rockledge, Florida.",Environmental and Facilities Services,,United States and Canada,4,1,4
227,ENI NEXT LLC,Pasqal SAS,"Pasqal SAS manufactures quantum information processors made of atomic arrays. The company was founded in 2019 and is based in Paris, France.","Technology Hardware, Storage and Peripherals",,Europe,4,1,4
228,ENI NEXT LLC,BeDimensional S.p.A.,"BeDimensional S.p.A. engages in the production of two-dimensional crystals with few atomic layers, namely graphene, hexagonal boron nitride, and other two-dimensional crystals in the development of layered materials for batteries, lubricants, photovoltaic panels, and other applications. It serves paints and coatings, polymer composites and compounds in energy storage and conversion, lubricants, automotive, aerospace, and additive manufacturing sectors. BeDimensional S.p.A. was founded in 2016 and is based in Genoa, Italy.",Specialty Chemicals,Energy Storage,Europe,3,5,5
229,ENI NEXT LLC,ENERGY DOME S.p.A.,"ENERGY DOME S.p.A. develops and offers long duration energy storage solutions using liquid CO2. The company offers CO2 battery that can operate in charging mode (absorbing power from the grid) and discharging mode (returning power to the grid); and CO2 ETCC is based on a closed thermodynamic transformation that uses CO2 as a working fluid to produce power and store energy in combination with a gas turbine. It develops a technology that stores CO2 in an inflatable dome and uses it as a working fluid in a closed-loop cycle that transforms it from gas to liquid and back to gas. The company was founded in 2019 and is based in Milan, Italy.",Electrical Components and Equipment,"Energy Storage,  Energy Management",Europe,3,2,3
230,ENI NEXT LLC,OXCCU TECH LTD.,"OXCCU TECH LTD. manufactures fuels, chemicals, and plastics from carbon dioxide and renewable energy. It offers e-fuels, e-chemicals, and e-plastics from hydrocarbon products. The company was incorporated in 2021 and is based in Oxford, United Kingdom.",Coal and Consumable Fuels,CleanTech,Europe,3,2,3
231,Eni S.p.A. ,AGI-Agenzia Giornalistica Italia S.p.A.,"AGI-Agenzia Giornalistica Italia S.p.A. operates as a press agency in Italy. Its products and services include AGI Notiziari, which are vital information tools for the media and industry; and AGI Web, a news service tailored for the Internet world. The company also offers AIG English News, which includes daily news of chronicle, politic, economy, and sport; and is provided through satellite and FTP to the customers. The company was founded in 1950 and is headquartered in Rome, Italy, with an additional office in Brussels, Belgium. AGI-Agenzia Giornalistica Italia S.p.A. operates as a subsidiary of Eni SpA.",Publishing,,Europe,4,1,4
232,Eni S.p.A. ,Banca UBAE S.p.A.,"Banca UBAE S.p.A. operates as a commercial bank that provides a range of banking products and services to businesses and financial institutions in Italy and internationally. The company offers financing solutions in the areas of treasury management, derivatives, foreign exchange, and capital markets; and trade finance services, such as post financing, pre-export/import financing, medium and long-term export loans with or without credit risk and country risk insurance coverage, forfaiting, and oil-related financings, as well as opening and confirmation of export-import letters of credit with on-demand or deferred payment, and issuance of contractual-financial guarantees/stand-by letters of credit. It also offers factoring, syndication, Internet banking, and other services. Banca UBAE S.p.A. was formerly known as Unione di Banche Arabe ed Europee S.p.A. The company was founded in 1972 and is based in Rome, Italy. Banca UBAE S.p.A. operates as a subsidiary of Libyan Foreign Bank.",Diversified Banks,,Europe,2,1,2
233,Eni S.p.A. ,Cool Planet Technologies Limited,"Cool Planet Technologies Limited manufactures membrane-based carbon capture process technology. It offers PolyActive, to capture carbon dioxide from industrial flue gas streams. The company was incorporated in 2019 and is based in London, United Kingdom.",Industrial Machinery and Supplies and Components,ClimateTech,Europe,3,1,3
234,Eni S.p.A. ,Distribuidora de Gas Cuyana S.A.,"Distribuidora de Gas Cuyana S.A. distributes natural gas in the Córdoba, Mendoza, La Rioja, San Luis, Catamarca, and San Juan provinces of Argentina. The company was founded in 1992 and is based in Buenos Aires, Argentina.",Gas Utilities,,Latin America and Caribbean,1,1,1
235,Eni S.p.A. ,"Galp Energia, SGPS, S.A.","Galp Energia, SGPS, S.A. operates as an integrated energy operator in Portugal and internationally. The company operates through four segments: Upstream, Industrial & Midstream, Commercial, and Renewables and New Business. The Upstream segment engages in the exploration, development, and production of hydrocarbons primarily in Brazil, Mozambique, and Angola. The Industrial & Midstream segment owns refineries in Portugal, as well as is involved in activities related to energy management of oil products, gas, and electricity. This segment also provides storage and transportation infrastructure for oil and gas products, as well as engages in the sale of electricity to the grid in Portugal and Spain. The Commercial segment is involved in the areas of retail to final business-to-business and business to consumer customers of oil, gas, and electricity. The Renewables and New Business segment is involved in the development of solar and wind power generation projects in Portugal and Spain. In addition, it produces biodiesel, biofuel, and green hydrogen; and operates service stations. Further, the company engages in the reinsurance business. The company was formerly known as Galp – Petróleos e Gás de Portugal, SGPS, S.A. and changed its name to Galp Energia, SGPS, S.A. in September 2000. Galp Energia, SGPS, S.A. was incorporated in 1999 and is headquartered in Lisbon, Portugal.",Integrated Oil and Gas,"Biomass Energy,  Biofuel,  CleanTech,  Energy Efficiency, Produces Biodiesel",Europe,1,2,1
236,Eni S.p.A. ,Inversora de Gas del Centro S.A.,"Inversora de Gas del Centro S.A. operates as a subsidiary of E.ON España, S.L.",Multi-Sector Holdings,,Latin America and Caribbean,1,1,1
237,Eni S.p.A. ,Karachaganak Petroleum Operating B.V.,"Karachaganak Petroleum Operating B.V. extracts, process, and exports oil and gas. It offers stabilized and un-stabilized liquid hydrocarbons, raw and fuel gas, sour gas, sweet gas, and fuel gas. The company also provides drilling and reservoir management services. Karachaganak Petroleum Operating B.V. was founded in 1979 and is based in Aksay, Kazakhstan.",Oil and Gas Exploration and Production,,Europe,1,2,1
238,Eni S.p.A. ,Mozambique Rovuma Venture S.p.A.,"Mozambique Rovuma Venture S.p.A. engages in the exploration and production of oil and gas. It also produces onshore liquefied natural gas; and provides engineering, procurement, and construction contract services. Mozambique Rovuma Venture S.p.A. was formerly known as Eni East Africa SpA and changed its name to Mozambique Rovuma Venture S.p.A. in December 2017. The company was founded in 2007 and is headquartered in Maputo, Mozambique.",Oil and Gas Exploration and Production,,Africa / Middle East,1,1,1
239,Eni S.p.A. ,Nucleco S.p.A.,"Nucleco S.p.A. was founded in 1981 and is based in Milan, Italy. As of September 20, 2004, Nucleco S.p.A. is a subsidiary of Società Gestione Impianti Nucleari SpA.",Environmental and Facilities Services,,Europe,3,1,3
240,Eni S.p.A. ,PT Vico Indonesia,"PT Vico Indonesia engages in oil and gas drilling activities. PT Vico Indonesia was formerly known as HUFFCO. The company was founded in 1972 and is based in Jakarta, Indonesia.",Oil and Gas Drilling,,Asia-Pacific,2,1,2
241,Eni S.p.A. ,Saipem SpA,"Saipem SpA provides energy and infrastructure solutions worldwide. The company operates through divisions Offshore Engineering & Construction (E&C), Onshore Engineering & Construction, and Offshore Drilling. It offers development of subsea fields and pipelaying; installation and lifting of offshore structures; and engineering, implementation, installation, maintenance, modification, and decommissioning activities. The company also provides biorefineries, geothermal energy, carbon capture, wind and solar energy, waste to energy, and renewables and green technologies; high-speed rail; premium, engineering, and smart maintenance services; and offshore and onshore services. In addition, the company provides procurement, project management, construction, and engineering integrated services for the energy industry and public markets. Saipem S.p.A. was founded in 1957 and is headquartered in Milan, Italy.",Oil and Gas Equipment and Services,"ClimateTech,  Marine Transportation,  Environmental Engineering,  Clean Energy, Geothermal Energy, Offshore Engineering, Solar Energy",Europe,3,5,5
242,Eni S.p.A. ,South Stream AG,"South Stream AG supplies natural gas through offshore gas pipeline systems for the European energy industry. The company was incorporated in 2008 and is based in Zug, Switzerland. South Stream AG operates as a subsidiary of Public Joint Stock Company Gazprom.",Oil and Gas Storage and Transportation,,Europe,1,1,1
243,Eni S.p.A. ,The Baku-Tbilisi-Ceyhan Pipeline Co.,"The Baku-Tbilisi-Ceyhan Pipeline Co. engages in the construction and operation of Baku-Tbilisi-Ceyhan pipeline that transport crude oil from Azerbaijan to Turkey. The company was founded in 2002 and is based in Baku, Azerbaijan.",Oil and Gas Storage and Transportation,,Europe,1,1,1
244,Eni S.p.A. ,Toscana Energia S.p.A.,"Toscana Energia S.p.A. distributes energy and gas. The company was founded in 2006 and is based in Florence, Italy.",Gas Utilities,,Europe,3,1,3
245,Eni S.p.A. ,Snam S.p.A.,"Snam S.p.A., together with its subsidiaries, engages in the operation of natural gas transport and storage infrastructure in Italy. The company operates through Transportation, Storage, Regasification, Energy Transition, and other segments. It provides natural gas transportation and dispatching services; and owns and manages LNG regasification plants. The company also offers natural gas storage services through an integrated group of infrastructure comprising deposits, wells, gas treatment and compression plants, and the operational dispatching systems; and operates storage concessions in Lombardy, Emilia-Romagna, and in Abruzzo. In addition, it engages in the rental and maintenance of fibre optic telecommunications cables, as well as energy efficiency solutions for residential, industrial, tertiary, and public administration sectors; and management of biogas and biomethane plants. Further, the company offers engineering and project management services. It also operates in Albania, Saudi Arabia, Austria, China, Egypt, the United Arab Emirates, France, Greece, the United Kingdom, and the United States. The company was formerly known as Snam Rete Gas S.p.A. and changed its name to Snam S.p.A. in January 2012. Snam S.p.A. was founded in 1941 and is headquartered in San Donato Milanese, Italy.",Gas Utilities,"Biofuel,  Storage Management,  Environmental Engineering,  Energy Efficiency, Energy Efficiency Solution, Storage Infrastructure",Europe,1,2,1
246,Eni S.p.A. ,Abu Dhabi Oil Refining Company,"Abu Dhabi Oil Refining Company, doing business as ADNOC Refining, operates as a refining company. It explores, produces, refines, and supplies petroleum products from crude oil, including liquefied petroleum gases, naphtha, unleaded gasoline, aviation turbine and domestic kerosene, gas oils, straight run residues, and liquid sulphur. The company was founded in 1999 and is based in Abu Dhabi, United Arab Emirates. Abu Dhabi Oil Refining Company operates as a subsidiary of Abu Dhabi Oil Refining Company.",Oil and Gas Refining and Marketing,,Africa / Middle East,1,1,1
247,Eni S.p.A. ,Bonifiche Ferraresi S.p.A. Società Agricola,"Bonifiche Ferraresi S.p.A. Società Agricola cultivates and markets agricultural products in Italy. It offers rice, wheat and durum wheat, maize, and barley; soybean and sunflower oilseeds; beet sugar; and apples, pears, watermelons, melons, tomatoes, potatoes, and green beans, as well as fennel, passionflower, lemon balm, and valerian medicinal plants. The company also provides corn plants, fruits, legumes, and alfalfa plants. The company was founded in 1871 and is based in Jolanda di Savoia, Italy. As of June 16, 2017, Bonifiche Ferraresi S.p.A. Società Agricola operates as a subsidiary of B.F. S.p.A.",Agricultural Products and Services,"Horticulture, Medicinal Plant",Europe,3,3,3
248,Eni S.p.A. ,Brass LNG Limited,"Brass LNG Limited constructs and operates a liquefied natural gas plant. The company is based in Lagos, Nigeria.",Oil and Gas Storage and Transportation,,Africa / Middle East,1,1,1
249,Eni S.p.A. ,Petroz N.L.,"Petroz N.L., through its subsidiaries, explores and develops oil and gas wells. It provides exploration of oil and gas, and the production and sale of oil, condensate, gas, and liquified petroleum gas. The company was founded in 1969 and is based in West Perth, Australia. Petroz N.L. operates as a subsidiary of ConocoPhillips.",Oil and Gas Exploration and Production,,Asia-Pacific,1,1,1
250,Eni S.p.A. ,Oil Mining Leases in Nigerian Offshore,Oil Mining Leases in Nigerian Offshore provides oil mining and production services and is based in Nigeria.,Oil and Gas Exploration and Production,,Africa / Middle East,1,1,1
251,Eni S.p.A. ,Angola LNG Limited,"Angola LNG Limited engages in the production, distribution, and transmission of liquefied natural gas in Angola. Its services include gas supply, pipelines, and processing plants. The company was founded in 1999 and is based in Luanda, Angola.",Oil and Gas Exploration and Production,,Africa / Middle East,1,1,1
252,Equinor ASA ,Algerian Petroleum Institute,Algerian Petroleum Institute operates as a subsidiary of Sonatrach Spa,Education Services,,Africa / Middle East,1,1,1
253,Equinor ASA ,Azerbaijan Gas Supply Company,Azerbaijan Gas Supply Company markets and sells gas. The company is based in Azerbaijan.,Oil and Gas Refining and Marketing,,Europe,1,1,1
254,Equinor ASA ,Christian Michelsen Research AS,"Christian Michelsen Research AS engages in the technological research and development, construction of prototypes, and commercialization of completed products. The company, through its subsidiaries, provides mechanical engineering, product design, and manufacturing services for space exploration and consumer products application areas; and consulting services in the field of gas and dust explosion safety. Its services include gas explosion safety assessments, including simulations with FLACS; dust explosion safety assessments and test laboratory; contract research in the field of explosion safety; explosion testing, which includes explosion properties and equipment for use in explosive atmospheres; sale of products, including FLACS and the gas explosion handbook; and gas or dust explosions accident investigations, and development of an accidental explosions database. The company was founded in 1992 and is based in Bergen, Norway. Christian Michelsen Research AS operates as a subsidiary of Universitetet i Bergen.",Research and Consulting Services,,Europe,3,1,3
255,Equinor ASA ,CO2 Technology Centre Mongstad DA,"CO2 Technology Centre Mongstad DA operates a technology center for testing and improving carbon dioxide (CO2) capture technologies. It offers access to real-life flue gases for testing that include flue gas from a gas turbine power plant and flue gas from a refinery catalytic cracker, which resembles flue gas from a coal-fired power plant. The company also provides chilled ammonia post-combustion technology to test separating of CO2 from the exhaust gases using chilled ammonia as the solvent to absorb the CO2; a post-combustion capture technique using amines to test CO2; other testing programs. CO2 Technology Centre Mongstad DA was founded in 2009 and is based in Mongstad, Norway.",Research and Consulting Services,"Motion Capture, Capture Technologies",Europe,3,1,3
256,Equinor ASA ,Equinor Asset Management ASA,"Security And Commodity Services, Nec, Nsk",Asset Management and Custody Banks,,Europe,3,1,3
257,Equinor ASA ,GASSCO,"GASSCO owns and operates natural gas transportation pipelines. It is engaged in submarine gas gathering, transportation, and landing pipeline system in the world. It also gather and customize dry and wet gas, process it, and deliver according to commercial specifications at the outlet flange of ultimate landing terminals, which are located entirely in Europe and the United Kingdom. It operates the gas transport infrastructure located on the Norwegian Continental Shelf to ports in several European countries. It caters through its terminals based in Belgium, France, Germany, and the United Kingdom. The company was incorporated in 2001 and is based in Kopervik, Norway.",Oil and Gas Storage and Transportation,,Europe,1,1,1
258,Equinor ASA ,Kjeller Innovasjon AS,"Kjeller Innovasjon AS is a venture capital firm specializing in incubation and investments in seed, early venture, mid venture, late venture, and emerging growth companies. It prefers to invest in the technology, environmental, energy, community safety, bioeconomics and security sectors. It invests in companies based in Norway. The firm invests through its balance sheet. Kjeller Innovasjon AS was founded in 1993 and is based in Kjeller, Norway.",Asset Management and Custody Banks,,Europe,4,1,4
259,Equinor ASA ,Koc Statoil Gaz Iletim A.S.,"Koc Statoil Gaz Iletim A.S. engages in gas transmission and is based in Turkey. Koc Statoil Gaz Iletim A.S. formerly operated as subsidiary of StatoilHydro ASA. As of January 9, 2009, Koc Statoil Gaz Iletim A.S. operates as a subsidiary of Aygaz A.S.",Oil and Gas Storage and Transportation,,Europe,1,1,1
260,Equinor ASA ,Koc Statoil Gaz Toptan Satis A.S.,"Koc Statoil Gaz Toptan Satis A.S. is a wholesale gas company. The company was founded in 2004 and is based in Istanbul, Turkey. Koc Statoil Gaz Toptan Satis A.S. formerly operated as a subsidiary of StatoilHydro ASA. As of January 9, 2009, Koc Statoil Gaz Toptan Satis A.S. operates as a subsidiary of Aygaz A.S.",Oil and Gas Refining and Marketing,,Europe,1,1,1
261,Equinor ASA ,Kongsberg Innovasjon AS,"Kongsberg Innovasjon AS is venture capital firm specializing in incubation, early venture, seed/startups and growth capital investments. It seeks to invest in international technology oriented, marine, deep tech startups within industrial value chains/B2B, alternative energy resources, nanotechnology, biotechnology, health care technology, information technology consulting and greentech sector companies based in Norway. The firm prefers to take a seat on the board of directors. It invests through government funding. The firm prefers to exit its investments through a trade sale or initial public offering. Kongsberg Innovasjon AS was founded in 2002 and is based in Kongsberg, Norway.",Asset Management and Custody Banks,,Europe,5,5,5
262,Equinor ASA ,LLC KrasGeoNaC,"LLC KrasGeoNaC owns and operates conventional onshore oil and gas exploration and production resources in Eastern Siberia. The company was incorporated in 2014 and is based in Krasnoyarsk, Russia.",Oil and Gas Exploration and Production,,Europe,1,1,1
263,Equinor ASA ,NUI AS,"NUI AS provides subsea services to the oil and gas industry. The company offers services that range from advanced research, hyperbaric contingency, and performance testing to engineering, training, and pressure/equipment testing. Its services include verification of diving systems, pressure testing, subsea testing, seabed sampling, chemical testing, physical performance testing of personnel, medical examination, and test facility services; planning and execution of manned underwater operations, preparing consent to dive, diving medicine, compliance measurements, HSEQ (onshore and offshore), ROV operations, marine operations, and management systems; and training services. NUI AS was founded in 1976 and is based in Bergen, Norway.",Research and Consulting Services,,Europe,2,1,2
264,Equinor ASA ,OSPREC Spa,OSPREC Spa offers marine pollution cleaning services. The company engages in cleaning of oil spills in the Mediterranean and in the Gulf of Guinea. The company was founded in 2004 and is based in Algeria.,Environmental and Facilities Services,,Africa / Middle East,3,4,3
265,Equinor ASA ,Revterra Corporation,"Revterra Corporation develops a grid-stabilizing kinetic battery. The company’s products are designed to mitigate demand charges and infrastructure upgrade requirements in applications, such as high-power electric vehicle charging and larger grid-scale applications. It also enables energy storage for industrial and utility-scale applications, such as the storage of wind and solar energy. The company was incorporated in 2017 and is based in Houston, Texas.",Heavy Electrical Equipment,"ClimateTech,  Electric Vehicle,  Energy Storage,  Energy Management,  Clean Energy, Solar Energy",United States and Canada,4,5,5
266,Equinor ASA ,SNA Holding AS,"SNA Holding AS, through its subsidiary, offers planning and project management software. The company was incorporated in 2009 and is based in Stavanger, Norway. SNA Holding AS operates as a subsidiary of Croxus AS.",Application Software,,Europe,4,1,4
267,Equinor ASA ,"Sol Clarity, Inc.","Sol Clarity, Inc. manufactures and sells transparent electrodynamic screens as overlays for solar panels that automatically remove dust and improve the energy yield/output power of solar panels without the need to wash the panels with water. It offers Sol Clarity EDS, a non-esoteric materials and engineered system for dust removal. The company was incorporated in 2020 and is based in Somerville, Massachusetts.",Semiconductors,,United States and Canada,4,5,5
268,Equinor ASA ,South Caucasus Pipeline Company Limited,South Caucasus Pipeline Company Limited constructs and operates gas exportation pipelines for the transportation of natural gas produced from the offshore Shah Deniz field to Turkish and Georgian markets. The company is based in Azerbaijan.,Oil and Gas Storage and Transportation,,Europe,1,1,1
269,Equinor ASA ,Statoil Shah Deniz AS,"Statoil Shah Deniz AS was incorporated in 2009 and is based in Stavanger, Norway.",Construction and Engineering,,Europe,3,1,3
270,Equinor ASA ,The Baku-Tbilisi-Ceyhan Pipeline Co.,"The Baku-Tbilisi-Ceyhan Pipeline Co. engages in the construction and operation of Baku-Tbilisi-Ceyhan pipeline that transport crude oil from Azerbaijan to Turkey. The company was founded in 2002 and is based in Baku, Azerbaijan.",Oil and Gas Storage and Transportation,,Europe,1,1,1
