M&A Deal Identifier,Year Completed/Unconditional (yyyy),Year of Announcement (yyyy),M&A Type,Purpose,Purpose Text,Strategic Purpose,Target Business Description,Target Ultimate Parent,Target Ultimate Parent 6-digit CUSIP,Target Ultimate Parent Business Description,Target Ultimate Parent Industry,Target Ultimate Parent Industry Group,Target Ultimate Parent Major SIC Group,Target Ultimate Parent Nation,Acquiror Ultimate Parent,Acquiror Ultimate Parent 6-digit CUSIP,Acquiror Ultimate Parent Industry,Acquiror Ultimate Parent Major SIC Group,Acquiror Ultimate Parent Nation,M&A Headline,Deal Synopsis,Singh,Arora,Neilsen,RH,Uche,Edrick
34391351745,1987,1987,Undisclosed Dollar Value Deal,,,,Manufacture toiletries,UNZA Group,90318V,Manufacture toiletries,"Soaps, Cosmetics and Personal-Care Products",Manufacturing Group,Chemicals and Allied Products,Malaysia,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,BP Detergents Ltd acquires UNZA Group,"BP Detergents, a subsidiary of British Petroleum, acquired UNZA. This acquisition was part of BP Detergents' plan to develop a strong manufacturing base in the Pacific basin, both for supplying domestic markets and for export.",5,4,5,2,2,5
34391334602,1988,1987,Undisclosed Dollar Value Deal,,,,Manufacture petrochemicals,Aristech Chemical Corp,040422,"Manufacture polymer products and resins, including polypropylene, phenol, and related derivatives related derivatives",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Chemical Co acquires Aristech Chemical Corp-Houston,"Mobil Chemical, a unit of Mobil, bought a petrochemicals plant in Houston, Texas from Aristech Chemical. Terms were not disclosed.",1,3,3,1,1,1
34391869808,1987,1987,Undisclosed Dollar Value Deal,,,,Oil production and refining,USX Corp,90337Q,"Manufacture, wholesale and retail petroleum refined products, including gasoline, diesel fuel and heating oils, lubricants, asphalt, heavy oils, petrochemicals, base oils, petroleum pitch, and waxes; provide liquid hydrocarbon, oil and natural gas exploration and production services; provide crude oil refining, marketing and transportation services; manufacture steel mill products, coke, and taconite pellets; coal mining; provide mineral management services as well as engineering and consulting svcs; pvd leasing and financing svcs; pvd natural gas transmission and distribution svcs; holding co",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,OESTERREICHISCHE INDUSTRIEHOLDING AG,67616M,Transportation and Shipping (except air),Motor Freight Transportation,Austria,OMV AG acquires Deutsche Marathon Petro Gmbh,"Marathon Petroleum, a subsidiary of USX's Marathon Oil subsidiary, completed the sale of its West German refining and marketing subsidiary, Deutsche Marathon Petroleum, to OMV AG, a unit of state-owned Oesterreichische Holdings' Austrian Industrie subsidiary. Terms were not disclosed.",1,4,4,1,2,1
34391868862,1987,1987,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, prodn",Sulpetro Ltd,865376,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Canada,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,"Esso Resources Canada Ltd acquires Sulpetro Ltd,Sulbath Expl for US$0.5B","Esso Resources Canada, a unit of Imperial Oil (70%-owned by Exxon), acquired the assets of Sulpetro and all the shares of its affiliate Sulbath Exploration from a court receiver for 680 mil Canadian dollars ($520.8 mil) which included the assumption of $165 mil Canadian ($126.4 mil) of Sulbath debt. Sulpetro had been placed in receivership in June 1987 after it had failed to restructure its loans owed mainly to Royal Bank of Canada. The transaction was subject to court and Canadian government approvals.",1,1,1,1,1,1
34391360889,1987,1987,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production,Sulpetro Ltd,865376,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Canada,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Imperial Oil Ltd acquires Sulpetro Ltd for US$0.5B,"Imperial Oil, a unit of Exxon, acquired Sulpetro for 680 mil Canadian dollars ($521 mil US), thus becoming Canada's seventh-largest gas producer. In June, 1987, Sulpetro was forced into receivership by the main secured creditor, the Royal Bank of Canada.",1,1,1,1,1,1
34391336129,1987,1987,Undisclosed Dollar Value Deal,,,,Oil exploration and production,Tenneco Inc,880370,"Tenneco Inc located at 5-- North Field Drive, Lake Forest, Illinois manufacture agricultural tractors, cotton pickers and other machinery, construction loaders/backhoes, skid-steers, excavators, compaction, trenching and logging equipment, rough-terrain forklifts; nuclear aircraft carriers and submarines and commercial ships; provide natural gas transmission and distribution services; manufacture corrugated containers, folding cartons, pressed paperboard containers and plastic molded fiber; automotive exhaust systems, shock absorbers, struts, suspensions, and non-asbestos brake friction materials, surfactants, phosphoric acid and salts, phosphoric derivatives, specialty chemicals, soda ash, caustic soda, sodium sulfite; gold and silver mining",Machinery,Manufacturing Group,Industrial Machinery; Computer Equipment,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Amoco Production Co(Amoco) acquires Tenneco Oil Expl & Prodn-Oil,"Tenneco's Tenneco Oil Exploration & Production unit reached an agreement with Amoco's Amoco production unit to buy, sell and exchange producting and exploratory properties of Tenneco's unit in Texas and the Gulf of Mexico. Terms were not disclosed.",1,1,1,2,1,1
34391336481,1989,1987,Disclosed Dollar Value Deal,,,,Coal mining,Kaiser Steel Corp,483098,Manufacture steel and steel products; provide structural steel construction services; anthracite and coal mining,Metal and Metal Products,Manufacturing Group,Primary Metal Industries,United States,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Restructuring: Kaiser Coal-New Mexico Pptys,Kaiser Steel sold its New Mexico coal properties and reserves to Chevron's Pittsburgh& Midway Coal Mining unit and two Pennzoil units for $60.5 mil cash plus the assumption of certain liabilities. The sale was approved by a US Bankruptcy court after Pittsburgh & Midway successfully outbid Southwestern Public Service. Kaiser Steel and Kaiser Coal had been operating under Chapter 11 and had sought to shed the the remaining coal and steel operations as part of a major restructuring. The original bid by Pitt & Midway had been $97.7 mil.,1,1,2,1,2,2
34391334153,1987,1987,Disclosed Dollar Value Deal,,,,"Oil and gas explortaion, prodn",Crown Central Petroleum Corp,228219,Oil and gas exploration and production; manufacture and wholesale refined petroleum products,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,"Amoco Corp,Cross Timbers Oil acquires Crown Central Petro-Oil Pptys for US$166M",Crown Central Petroleum sold most of its oil and gas exploration and production division to Amoco and two affiliates of Cross Timbers Oil for a total of about $166 mil. Chase Manhattan Capital Markets initiated the transaction and advised Crown Central.,3,1,1,1,1,1
34391868374,1988,1987,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production,Britoil PLC,111038,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC to acquire 70% stake in Britoil PLC for US$4B,"British Petroleum (BP) acquired a 29.9% stake in Britoil and then acquired the remaining shares through a hostile tender offer valued at 2.4 bil pounds ($4.3 bil). BP first bought shares for 300 pence but Britoil's price rose when Atlantic Richfield proposed to buy a stake that would eventually reach 49.9%. BP countered by offering first 450 pence, then 500 pence per share. Atlantic Richfield dropped out of the bidding to sell its Britoil stake to BP, giving BP a majority interest. The British government decided not to use its 'golden share' to block the acquisition.",1,1,1,1,1,1
34391868376,1987,1987,Stake Purchases Deal,,,,Oil and gas exploration and production,Britoil PLC,111038,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC acquires 29% stake in Britoil PLC for US$1.1B,"British Petroleum (BP) bought a 29.9% stake in Britoil en route to its 2.4 bil British pound ($4.3 bil US) acquisition of Britoil. BP first purchased 14.9% at 300 pence ($5.36) per share, with other purchases ranging in price up to 450 pence ($8.04) per share, below BP's bid of 500 pence ($8.93) per share for the remaining 70.1%. BP's bid won over its competitor, Arco, which had built a 24% stake and planned to acquire as much as 49.9% of Britoil in an asset-for-stock swap. BP's 29.9% stake had an estimated 630.95 pounds ($1.1 bil).",1,1,1,1,1,1
34391341882,1987,1987,Undisclosed Dollar Value Deal,,,,Manufacture pharmaceuticals,Boots Co PLC,099491,Boots Co PLC is a drug store operator. The Company was founded in July 1988 and is located in the United Kingdom.,Miscellaneous Retail Trade,Trade Group,Miscellaneous Retail,United Kingdom,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Deutsche Shell Holding GmbH acquires Technochemie GmbH(Boots Co),"Deutsche Shell, a member of the Royal Dutch/Shell Group of Companies, acquired Technochemie, a subsidiary of Boots. Morgan Stanley acted as financial advisor to Boots. Terms were not disclosed.",1,5,5,5,1,3
34391347368,1987,1987,Undisclosed Dollar Value Deal,,,,Wholesale durable and non- durable goods,British Petroleum Co PLC,110889,"British Petroleum Co PLC, located in London, UK, is an oil and gas exploration and production company. The company's services include fuel for transportation, energy for heat and light, retail services, and petrochemicals products. The company's main divisions include Exploration and Production; Refining and Marketing; and Gas, Power, and Renewables. The Exploration and Production segment engages in the oil and natural gas exploration, development, and production. It has exploration and production activities in the United States, the United Kingdom, Angola, Azerbaijan, Canada, Egypt, Russia, and Trinidad and Tobago, as well as in Asia Pacific, Latin America, and the Middle East. This segment also owns and manages crude oil and natural gas pipelines; processing and export terminals; and liquefied natural gas (LNG) processing facilities and transportation. The company operates in Europe, the United States, Canada, Russia, South America, Australasia, Asia, and Africa. The company was founded in 1909.",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,BP Espana SA(BP PLC) acquires Dismark SA,BP Espana acquired Dismark and the worldwide rights to the brand Gior from Roig. Terms of the acquisition were not disclosed.,1,1,1,4,1,
34391412202,1987,1987,Undisclosed Dollar Value Deal,,,,Manufacture steel products,Bernard Steinel Werkzeugmaschinenfabrik GmbH und Co KG,85836J,Manufacture steel products,Metal and Metal Products,Manufacturing Group,Primary Metal Industries,Germany,OESTERREICHISCHE INDUSTRIEHOLDING AG,67616M,Transportation and Shipping (except air),Motor Freight Transportation,Austria,Voest-Alpine Stahl AG acquires Bernard Steinel,"Voest-Alpine Stahl, a unit of state-owned Oesterreichische Industrieholding's Austrian Industries subsidiary, acquired Bernard Steinel Werkzeugmaschinenfabrik.",3,5,3,1,2,2
34391869050,1990,1988,Undisclosed Dollar Value Deal,,,,Manufacture additives for fuels and lubricants,Rhone-Poulenc SA,762426,"Manufacture industrial chemicals, cosmetics, insecticides, cleaning preparations and fibers",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,France,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,"Chevron Chemical Co(Chevron) acquires 50% stake in Orogil(Rhone-Poulenc,Chevron)","Chevron Chemical acquired the remaining 50% interest it did not already own of Orogil, a joint venture it had formed with Rhone-Poulenc. Terms were not disclosed. Since assuming management responsibility for Orogil, Chevron's Oronite Additives division has integrated Orogil into its Global Marketing & Supply operations.",2,3,5,1,2,3
34391869204,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture industrial organic chemicals,Petrosynthese SA,71675Q,Manufacture industrial organic chemicals,Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,France,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Chevron Corp acquires 30% stake in Petrosynthese SA,"Chevron acquired a 30% interest in Petrosynthese from Rhone Poulenc, boosting its holdings to 65%. Terms were not disclosed.",3,3,4,2,2,1
34391348212,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture polypropylene film,Fortis AG,34957V,"Provide financial services, provide banking and insurance services",Insurance,Financial Group,Insurance Carriers,Belgium,Royal Dutch Petroleum Co,780257,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,Netherlands,Moplefan SpA acquires Azofilm SA-Polypropylene Div,S. A. Gechem N. V. sold the polypropylene film activities of Azofilm S. A. To Moplefan Spa.,3,5,5,1,2,1
34391332126,1988,1988,Disclosed Dollar Value Deal,,,,Gas utility; oil and gas exploration and production,Lear Petroleum Corp,521890,Gas utility; oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,BP America Inc acquires Lear Petroleum Corp for US$379.3M,"BP America, a unit of British Petroleum, acquired Lear Petroleum in a deal valued at about $171.5 mil. BP bought Lear's 11.9 mil common shares for $2.65 cash per share and paid $8.50 cash, sweetened from $6.00, for each of Lear's 2.19 mil preferred shares. BP conditioned its offer on at least $100 mil of Lear's $171 mil of debt outstanding under 3 different issues being tendered at prices ranging from $650 to $820 mil per $1,000 face amount. Lear had received a recapitalization offer from an investor group led by Patrick Keeley in January, 1988.",1,1,1,1,2,1
34391333123,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture herbicides and plant growth regulators,PPG Industries Inc,693506,"PPG Industries Inc, located in Pittsburgh, Pennsylvania, manufactures coatings. It primarily services customers in industrial, transportation, consumer products, and construction markets and aftermarkets. The Company was founded in 1883.",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United States,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Chevron Chemical Co(Chevron) acquires PPG Inds-Coml Biochemicals Bus,"Chevron Chemical, a unit of Chevron, acquired PPG Industries' commercial biochemicals business. Terms were not disclosed. PPG had put the business up for sale in July 1987. Merrill Lynch Capital Markets advised PPG.",3,3,4,2,4,3
34391382897,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture chemical preparations,Akzo NV,010199,Manufacture chemical preparations and textile products; holding company,Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,Netherlands,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Exxon Chemical Holland BV acquires Chemservice Europort(Akzo NV),"Exxon Chemical Holland, a subsidiary of Exxon's Exxon Chemical Unit, acquired a portion of Chemservice Europort, a subsidiary of Akzo.",2,3,4,1,2,2
34391869208,1988,1988,Undisclosed Dollar Value Deal,,,,Oil exploration,Pluspetrol Energy SA,72940F,"Pluspetrol Energy SA, located in Buenos Aires, Argentina, is an oil and gas exploration and production company. It has operations in Argentina, Angola, Bolivia, Colombia, Peru, the United States, and Venezuela. The company was founded in 1977.",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Argentina,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Corp acquires 50% stake in Pluspetrol-Block 16 Expl Award,"Mobil acquired a 50% interest in Pluspetrol S.A.'s award of Block 16 exploration acreage in the Parana Basin in northern Argentina. The acreage was awarded to Pluspetrol along with Primary Fuels, with Pluspetrol as the operator. Terms of the transaction were not disclosed.",1,1,1,1,1,1
34391384735,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture chemicals,Sochima SpA,83359K,Manufacture chemicals,Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,Italy,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Exxon Chemical Mediteranea SpA acquires Sochima,"Exxon Chemical Mediteranea, a subsidiary of Exxon's Exxon Chemical, acquired Sochima.",2,3,4,1,2,
34391349338,1988,1988,Disclosed Dollar Value Deal,,,,Manufacture road marking pains and equipment,Williams Holdings PLC,96949Q,Manufacture sprinkler systems and fire extinguishers; holding company,Business Services,Services Group,Business Services,United Kingdom,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Colas Holdings Ltd acquires Berger Traffic Markings for US$2M,"Colas Holdings, a unit of the Shell Ventures (UK) subsidiary of the Shell UK unit of Royal Dutch/Shell Group's Shell Transport and Trading, acquired Berger Traffic Markings from Williams Holdings for 1.07 mil British pounds ($1.98 mil US) which included the repayment of a 117,000 pound ($216,000) loan.",3,5,5,1,2,3
34391868821,1988,1988,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, prodn",Ocelot Industries Ltd,675511,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Canada,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Esso Resources Canada Ltd acquires Ocelot Inds-Alberta Oil & Gas for US$224.3M,"Ocelot Industries sold its Alberta oil and gas assets to Esso Resources Canada, a unit of Imperial Oil for 281.4 mil Canadian dollars ($224.3 mil US). About 80 mil dollars ($64 mil) was dependent on future natural gas prices.",1,1,1,1,1,1
34391868763,1988,1988,Stake Purchases Deal,,,,"Oil and gas exploration, prodn",Occidental Petroleum Corp,674599,"Occidental Petroleum Corp, located in Houston, Texas, is an oil and gas exploration, production and development company. Its operations are carried out through two segments: oil and gas and chemical. The oil and gas segment develops, explores for, produces and markets crude oil and natural gas. Its domestic oil and gas operations are located in Elk Hills and other smaller locations in California, the Hugoton field in Kansas and Oklahoma, the Permian basin in west Texas and New Mexico and the Gulf of Mexico. The chemical segment manufactures and markets basic chemicals, vinyls and performance chemicals. Basic chemicals include chlorine, caustic soda, potassium chemicals and their derivatives. It operates in the United States, Colombia, Ecuador, Oman, Pakistan, Qatar, Russia, the United Arab Emirates and Yemen and other countries. The Company was founded in December 1920 .",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Instituto Nacional de Hidrocarburos(Spain),45777A,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",Spain,Repsol Exploracion Irlanda SA acquires 25% stake in Repsol Occidental Corp for US$149.1M,"Occidental Petroleum sold a 25% interest in its Repsol Occidental unit to Repsol Exploracion, which is owned by Spain, for about 71.6 bil Columbian pesos ($272 mil US). The acquisition included an interest in the Cano Limon and the Redondo fields, which produce 215,000 barrels of oil a day. Salomon Brothers advised Repsol Exploracion.",1,1,3,1,1,1
34391335734,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture plastic products,Premark International Inc,740459,"Manufacture commercial equipment for food preperation, cooking, baking, warewashing and refrigeration; manufacture decorative surfacing products, such as cabinatry and countertop laminates; manufacture small electric kitchen appliances, cookware and physical fitness equipment; holding company",Machinery,Manufacturing Group,Industrial Machinery; Computer Equipment,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Amoco Performance Products Inc acquires Premark Intl-Datco Plastics Op,"Amoco Performance Products, a unit of Amoco Chemical, also a unit of Amoco, acquired the commercial plastic operations of Datco Manufacturing, a unit of Premark International. Terms were not disclosed",3,3,5,2,1,3
34391110993,1988,1988,Undisclosed Dollar Value Deal,,,,"Composite Engineering Inc, based in Sacramento, California manufactures target drone systems and composite structures. It offers autoclave processing, phosphoric acid anodizing, metal-to-metal bonding, compression molding, vacuum bagging, hand layup, and tool machining services, as well as post machining, finishing, painting, and assembly services. It was founded in 1984.",Composite Engineering Inc,20408N,"Composite Engineering Inc, based in Sacramento, California manufactures target drone systems and composite structures. It offers autoclave processing, phosphoric acid anodizing, metal-to-metal bonding, compression molding, vacuum bagging, hand layup, and tool machining services, as well as post machining, finishing, painting, and assembly services. It was founded in 1984.",Aerospace and Aircraft,Manufacturing Group,Transportation Equipment,United States,Royal Dutch Petroleum Co,780257,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,Netherlands,Shell Polymers & Catalyst Entp acquires Composite Engineering Inc,"Shell Polymers & Catalyst Enterprises (SPACE), a unit of Shell, acquired Composite Engineering, later known as Compositech.",3,3,5,2,2,4
34391348836,1988,1988,Disclosed Dollar Value Deal,,,,Own and operate eucalyptus plantation,Grupo Luksic SA,87001Y,"Grupo Luksic SA, located in Santiago, Chile, is an investment company. It operates through its 2 subsidiaries: Antofagasta PLC and Quinenco SA with interests in telecommunications, banking, food and beverages, hotels, railways and mining projects. The group primarily operates in Chile, Argentina, Colombia and Brazil. The Company was founded in 1954.",Investment & Commodity Firms/Dealers/Exchanges,Financial Group,Holding and Other Investment Offices,Chile,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell UK Ltd acquires 52% stake in Forestal Colcura SA for US$37.6M,"Shell (Chile), a unit of the Royal Dutch/Shell Group, acquired a 52% interest in Forestal Colcura from Antofagasta Holdings for 9.2 bil Chilean pesos ($37.8 mil US). Barclays de Zoete Wedd advised Antofagasta Holdings.",2,5,5,5,4,
34391868834,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture industrial organic chemicals,Petrosynthese SA,71675Q,Manufacture industrial organic chemicals,Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,France,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Chevron Chemical Co(Chevron) acquires 35% stake in Petrosynthese SA,"Chevron Chemical, a unit of Chevron acquired the 35% stake in Petrosynthese it did not already own from Total Chimie, a unit of Total Cie Francaise des Petroles. Terms were not disclosed.",3,3,3,2,1,3
34391331921,1988,1988,Disclosed Dollar Value Deal,,,,"Manufacture ethylene, propylene, butadine, benzene and fuel products",Cain Chemical Inc,127760,"Manufacture ethylene, propylene, butadine, benzene and fuel products",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United States,Occidental Petroleum Corp,674599,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Occidental Petroleum Corp acquires Cain Chemical Inc for US$2.2B,"Occidental Petroleum acquired closely-held Cain Chemical for $2.2 bil, including $1.25 bil cash and the assumption of debt. Cain was formed in 1987 by a group of investors led by Sterling Group to acquire several chemical companies in a series of leveraged buyouts for a total of $1.08 bil. Chase Manhattan and Morgan Stanley, investors in Cain, each realized pretax gains of about $120 mil on the sale of their investments. The purchase price also included the cost of buying preferred stock in Cain's CCPC Chemical unit from Solvay & Compagnie.",3,3,3,2,1,1
34391384396,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture fluoropolymer pipes and cable insulation coatings,Symalit Group,87150F,Manufacture fluoropolymer pipe and cable insulation coatings,Rubber and Miscellaneous Plastic Products,Manufacturing Group,Rubber and Plastics Products,Switzerland,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell(Switzerland)AG acquires Symalit AG(Symalit Group),"Shell (Switzerland), a unit of Royal Dutch/Shell Group acquired Symalit, a unit of the Symalit Group.",2,4,4,3,2,3
34391334820,1988,1988,Disclosed Dollar Value Deal,,,,Gas reserves and facilities,Leede Exploration Co,52416Q,Oil and gas exploration,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Exxon Co USA(Exxon Corp) acquires Leede Expl-Gas Reserves for US$100M,"Exxon Co USA, a unit of Exxon, acquired deep gas reserves and related facilities from Leede Exploration for over $100 mil. VA Isaacs & Associates acted as financial advisor to Leede Exploration.",1,1,1,1,1,1
34391868538,1988,1988,Stake Purchases Deal,,,,Oil field,Royal Dutch Petroleum Co,780257,"Royal Dutch Petroleum Co, located in Den Haag, Netherlands, is an oil and gas exploration and production company.",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Netherlands,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Amoco(UK)Exploration Co acquires 1% stake in Shell UK Expl-Fulmar Oil Field,"Amoco (UK) Exploration, a unit of Amoco, acquired an additional 1.2% stake in Fulmar Field for cash from Mobil North Sea, a unit of Mobil. Amoco (UK) now held a 4.42% stake in Fulmar Field.",1,1,1,2,1,1
34391103070,1988,1988,Undisclosed Dollar Value Deal,,,,"Oil and gas exploration, prodn",Pegasus Holding Corp,70590Q,Oil and gas exploration and production; holding,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell Oil Co acquires Pegasus Holding-CA Oil & Gas,Shell Oil acquired oil and gas properties in California from Pegasus Holdings. First Boston advised Pegasus Holdings.,1,1,1,1,2,1
34391350007,1988,1988,Undisclosed Dollar Value Deal,,,,Manufacture composites for the car industry,Cie Francaise de Materiel Industriel{Cofim},19237M,Manufacture composites for the car industry,Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,France,Royal Dutch Petroleum Co,780257,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,Netherlands,Shell Chimie SA acquires Cofim,Shell Chimie acquired a majority stake in Cofim.,2,4,4,4,0,4
34391331955,1990,1988,Disclosed Dollar Value Deal,,,,Operate gas terminals,Columbia Gas System Inc,197648,Gas utility; oil and gas exploration and production; electric utility; wholesle propane; holding company,"Electric, Gas, and Water Distribution",Services Group,"Electric, Gas and Sanitary Services",United States,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell Oil Co acquires 50% stake in Columbia LNG Corp for US$110M,"The Columbia Gas System sold a 50% interest in its Columbia LNG subsidiary to Shell Oil, a unit of Royal Dutch/Shell Group, for $110 mil. Morgan Stanley advised Columbia LNG.",1,1,2,1,1,1
34391347909,1988,1988,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production; refine petroleum,Csr Ltd,126396,"CSR Ltd, located in North Ryde, Australia, manufactures construction materials. The company has operations throughout Australia as well as in Asia and New Zealand. Its principal activities are carried out through the following divisions: Sugar, Building Products, Aluminum and Property. Sugar includes the production of raw sugar and renewable electricity, as well as ethanol and refined sugar. Building products involves the manufacture and supply of building products including plasterboard, fiber cement, glass wool and rock wool insulation, clay bricks and pavers, concrete and terracotta roof tiles, and lightweight concrete products. Major brands include Bradford, Cemintel, Gyprock, Hebel, Wunderlich, Monier and PGH. Aluminum includes the production of aluminum ingots, billets and slabs. Property includes the development of residential estates and the sale or leasing of industrial estates. The Company was founded in 1855.","Stone, Clay, Glass, and Concrete Products",Manufacturing Group,"Stone, Clay, Glass and Concrete Products",Australia,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Esso Australia Pty Ltd acquires CSR-Delhi Petroleum Div for US$0.8B,"Esso Australia, a unit of Esson's Esso Resources subsidiary, acquired CSR's Delhi Petroleum division for 1 bil Australian dollars ($804 mil US).",1,2,1,1,1,1
34391346902,1988,1988,Disclosed Dollar Value Deal,,,,Own and operate gasoline service stations,Top Group,89052H,Own and operate gasoline service stations,Miscellaneous Retail Trade,Trade Group,"Automotive Dealers, Gasoline Service Stations",New Zealand,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,British Petroleum New Zealand acquires Top Group for US$39.9M,BP New Zealand acquired Top Group for 60 mil New Zealand dollars ($40 mil US) The purchase which was subject to Commerce Commission approval was to add 3% to BP's existing 33% share of the New Zealand market.,1,3,2,1,1,1
